id,billingDocumentItem,material,billingQuantity,billingQuantityUnit,netAmount,transactionCurrency,order_id,referenceSdDocumentItem
90504298,10,B8907367041603,1,PC,533.05,INR,80738109,10
90678703,10,B8907367032571,1,PC,305.9,INR,80754606,10
90678698,10,B8907367022152,1,PC,382.9,INR,80754601,10
90504301,10,B8907367039570,1,PC,1091.53,INR,80738111,10
90678702,10,S8907367008620,1,PC,299.0,INR,80754605,10
90628266,10,S8907367002512,1,PC,287.9,INR,80754576,10
90628265,10,S8907367013532,1,PC,245.9,INR,80754575,10
90678700,10,S8907367013532,1,PC,245.9,INR,80754603,10
90678699,10,S8907367025344,1,PC,179.0,INR,80754602,10
90678696,10,S8907367013587,1,PC,167.0,INR,80754574,10
90504279,20,S8907367013082,2,PC,0.0,INR,80738094,20
91150083,10,B8907367032571,1,PC,305.9,INR,80754606,10
91150084,10,S8907367008620,1,PC,299.0,INR,80754605,10
91150085,10,S8907367004448,1,PC,254.0,INR,80754604,10
91150086,10,S8907367013532,1,PC,245.9,INR,80754603,10
91150087,10,S8907367025344,1,PC,179.0,INR,80754602,10
91150088,10,B8907367022152,1,PC,382.9,INR,80754601,10
91150090,10,S8907367013587,1,PC,167.0,INR,80754574,10
91150147,10,B8907367039570,1,PC,1091.53,INR,80738111,10
91150148,10,S8907367042006,1,PC,464.41,INR,80738110,10
91150149,10,B8907367041603,1,PC,533.05,INR,80738109,10
91150150,10,S8907367002512,1,PC,215.25,INR,80738108,10
91150151,10,S8907367020035,1,PC,634.75,INR,80738107,10
91150152,10,S8907367042006,1,PC,464.41,INR,80738106,10
91150153,10,S8907367042006,1,PC,464.41,INR,80738105,10
91150154,10,S8907367031635,1,PC,422.03,INR,80738104,10
91150155,10,S8907367001003,1,PC,216.1,INR,80738103,10
91150156,10,S8907367001003,1,PC,216.1,INR,80738102,10
91150157,10,S8907367002499,1,PC,205.93,INR,80738101,10
91150158,10,S8907367042006,1,PC,464.41,INR,80738100,10
91150159,10,S8907367042006,1,PC,464.41,INR,80738099,10
91150160,10,S8907367042006,1,PC,464.41,INR,80738098,10
91150161,10,S8907367042006,1,PC,464.41,INR,80738097,10
91150162,10,S8907367039303,1,PC,473.73,INR,80738096,10
91150163,10,S8907367003311,1,PC,215.25,INR,80738095,10
91150164,10,B8907367032649,1,PC,327.97,INR,80738094,10
91150165,10,S8907367041993,1,PC,401.74,INR,80738093,10
91150166,10,S8907367003311,1,PC,215.25,INR,80738092,10
91150167,10,S8907367003380,1,PC,253.39,INR,80738091,10
91150168,10,S8907367035664,1,PC,422.03,INR,80738090,10
91150169,10,S8907367035664,1,PC,422.03,INR,80738089,10
91150170,10,S8907367035664,1,PC,455.93,INR,80738088,10
91150171,10,S8907367014867,1,PC,191.53,INR,80738087,10
91150172,10,S8907367010814,1,PC,337.29,INR,80738086,10
90504248,10,S8907367001003,1,PC,216.1,INR,80738072,10
90504267,10,S8907367010814,1,PC,337.29,INR,80738086,10
90504269,10,S8907367014867,1,PC,191.53,INR,80738087,10
90504270,10,S8907367035664,1,PC,455.93,INR,80738088,10
90504272,10,S8907367035664,1,PC,422.03,INR,80738089,10
90504273,10,S8907367035664,1,PC,422.03,INR,80738090,10
90504274,10,S8907367003380,1,PC,253.39,INR,80738091,10
90504276,10,S8907367003311,1,PC,215.25,INR,80738092,10
90504277,10,S8907367041993,1,PC,401.74,INR,80738093,10
90504280,10,S8907367003311,1,PC,215.25,INR,80738095,10
90504281,10,S8907367039303,1,PC,473.73,INR,80738096,10
90504283,10,S8907367042006,1,PC,464.41,INR,80738097,10
90504284,10,S8907367042006,1,PC,464.41,INR,80738098,10
90504285,10,S8907367042006,1,PC,464.41,INR,80738099,10
90504286,10,S8907367042006,1,PC,464.41,INR,80738100,10
90504288,10,S8907367002499,1,PC,205.93,INR,80738101,10
90504289,10,S8907367001003,1,PC,216.1,INR,80738102,10
90504290,10,S8907367001003,1,PC,216.1,INR,80738103,10
90504292,10,S8907367031635,1,PC,422.03,INR,80738104,10
90504293,10,S8907367042006,1,PC,464.41,INR,80738105,10
90504295,10,S8907367042006,1,PC,464.41,INR,80738106,10
90504296,10,S8907367020035,1,PC,634.75,INR,80738107,10
90504297,10,S8907367002512,1,PC,215.25,INR,80738108,10
90504300,10,S8907367042006,1,PC,464.41,INR,80738110,10
90678701,10,S8907367004448,1,PC,254.0,INR,80754604,10
90504204,10,S8907367013532,1,PC,229.66,INR,80738040,10
90504206,10,S8907367038122,1,PC,221.19,INR,80738041,10
90504207,10,S8907367001003,1,PC,250.0,INR,80738042,10
90504208,10,S8907367002512,1,PC,249.15,INR,80738043,10
90504210,10,S8907367039280,1,PC,363.56,INR,80738044,10
90504211,10,S8907367039280,1,PC,363.56,INR,80738045,10
90504212,10,S8907367039280,1,PC,363.56,INR,80738046,10
90504215,10,S8907367039280,1,PC,363.56,INR,80738048,10
90504217,10,S8907367039280,1,PC,363.56,INR,80738049,10
90504218,10,S8907367039280,1,PC,329.66,INR,80738050,10
90504219,10,S8907367008620,1,PC,253.39,INR,80738051,10
90504221,10,S8907367039280,1,PC,363.56,INR,80738052,10
90504222,10,S8907367039280,1,PC,329.66,INR,80738053,10
90504223,10,S8907367039280,1,PC,363.56,INR,80738054,10
90504225,10,S8907367008620,1,PC,253.39,INR,80738055,10
90504226,10,S8907367002512,1,PC,215.25,INR,80738056,10
90504227,10,S8907367025344,1,PC,185.59,INR,80738057,10
90504228,10,S8907367038108,1,PC,208.52,INR,80738058,10
90504230,10,S8907367008620,1,PC,253.39,INR,80738059,10
90504231,10,S8907367001003,1,PC,216.1,INR,80738060,10
90504232,10,S8907367013532,1,PC,179.66,INR,80738061,10
90504234,10,S8907367004448,1,PC,215.25,INR,80738062,10
90504237,10,S8907367028192,1,PC,168.64,INR,80738064,10
90504238,10,S8907367008620,1,PC,287.29,INR,80738065,10
90504239,10,S8907367008620,1,PC,253.39,INR,80738066,10
90504241,10,S8907367013532,1,PC,180.34,INR,80738067,10
90504242,10,S8907367025344,1,PC,151.69,INR,80738068,10
90504243,20,S8907367001836,1,PC,0.0,INR,80738069,20
90504245,10,S8907367039280,1,PC,329.66,INR,80738070,10
90504246,10,S8907367038122,1,PC,221.19,INR,80738071,10
90504249,10,S8907367010814,1,PC,320.42,INR,80738073,10
90504250,10,S8907367041993,1,PC,422.88,INR,80738074,10
90504252,20,S8907367013532,1,PC,0.0,INR,80738075,20
90504253,20,S8907367035978,1,PC,0.0,INR,80738076,20
90504255,20,S8907367035961,1,PC,0.0,INR,80738077,20
90504256,10,S8907367013532,1,PC,179.66,INR,80738078,10
90504257,10,S8907367016144,1,PC,375.42,INR,80738079,10
90504259,10,S8907367008620,1,PC,253.39,INR,80738080,10
90504260,10,S8907367037156,1,PC,422.03,INR,80738081,10
90504262,10,S8907367003380,1,PC,240.72,INR,80738082,10
90504265,20,S8907367010814,1,PC,0.0,INR,80738084,20
90504266,10,S8907367035664,1,PC,422.03,INR,80738085,10
90504376,10,S8907367038122,1,PC,221.19,INR,80737922,10
90504406,10,S8907367013532,1,PC,179.66,INR,80737921,10
90504214,10,B8907367032571,1,PC,272.88,INR,80738047,10
90504263,10,S8907367008620,2,PC,481.44,INR,80738083,10
90504235,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150174,10,B8907367037842,1,PC,761.86,INR,80738084,10
91150188,10,B8907367002246,1,PC,1301.82,INR,80738069,10
91150106,10,S8907367013532,1,PC,179.66,INR,80737921,10
91150114,10,S8907367038122,1,PC,221.19,INR,80737922,10
91150173,10,S8907367035664,1,PC,422.03,INR,80738085,10
91150175,10,S8907367008620,2,PC,481.44,INR,80738083,10
91150176,10,S8907367003380,1,PC,240.72,INR,80738082,10
91150177,10,S8907367037156,1,PC,422.03,INR,80738081,10
91150178,10,S8907367008620,1,PC,253.39,INR,80738080,10
91150179,10,S8907367016144,1,PC,375.42,INR,80738079,10
91150180,10,S8907367013532,1,PC,179.66,INR,80738078,10
91150181,10,B8907367037859,1,PC,439.83,INR,80738077,10
91150182,10,B8907367037859,1,PC,439.83,INR,80738076,10
91150183,10,B8907367015697,1,PC,429.66,INR,80738075,10
91150184,10,S8907367041993,1,PC,422.88,INR,80738074,10
91150185,10,S8907367010814,1,PC,320.42,INR,80738073,10
91150186,10,S8907367038122,1,PC,221.19,INR,80738071,10
91150187,10,S8907367039280,1,PC,329.66,INR,80738070,10
91150189,10,S8907367025344,1,PC,151.69,INR,80738068,10
91150190,10,S8907367013532,1,PC,180.34,INR,80738067,10
91150191,10,S8907367008620,1,PC,253.39,INR,80738066,10
91150192,10,S8907367008620,1,PC,287.29,INR,80738065,10
91150193,10,S8907367028192,1,PC,168.64,INR,80738064,10
91150194,10,S8907367026433,2,PC,310.76,INR,80738063,10
91150195,10,S8907367004448,1,PC,215.25,INR,80738062,10
91150196,10,S8907367013532,1,PC,179.66,INR,80738061,10
91150197,10,S8907367001003,1,PC,216.1,INR,80738060,10
91150198,10,S8907367008620,1,PC,253.39,INR,80738059,10
91150199,10,S8907367038108,1,PC,208.52,INR,80738058,10
91150200,10,S8907367025344,1,PC,185.59,INR,80738057,10
91150201,10,S8907367002512,1,PC,215.25,INR,80738056,10
91150202,10,S8907367008620,1,PC,253.39,INR,80738055,10
91150203,10,S8907367039280,1,PC,363.56,INR,80738054,10
91150204,10,S8907367039280,1,PC,329.66,INR,80738053,10
91150205,10,S8907367039280,1,PC,363.56,INR,80738052,10
91150206,10,S8907367008620,1,PC,253.39,INR,80738051,10
91150207,10,S8907367039280,1,PC,329.66,INR,80738050,10
91150208,10,S8907367039280,1,PC,363.56,INR,80738049,10
91150209,10,S8907367039280,1,PC,363.56,INR,80738048,10
91150210,10,B8907367032571,1,PC,272.88,INR,80738047,10
91150211,10,S8907367039280,1,PC,363.56,INR,80738046,10
91150212,10,S8907367039280,1,PC,363.56,INR,80738045,10
91150213,10,S8907367039280,1,PC,363.56,INR,80738044,10
91150214,10,S8907367002512,1,PC,249.15,INR,80738043,10
91150215,10,S8907367001003,1,PC,250.0,INR,80738042,10
91150216,10,S8907367038122,1,PC,221.19,INR,80738041,10
91150217,10,S8907367013532,1,PC,229.66,INR,80738040,10
